,0
0,100.99009900990099
1,121.73038229376256
2,99.79939819458374
3,110.55776892430278
4,102.20440881763528
5,121.95121951219512
6,103.83064516129032
7,110.89866156787764
8,74.36399217221134
9,100.0
10,111.92468619246863
11,109.95850622406638
12,114.06844106463878
13,114.3238434163701
14,96.78988326848248
15,105.40254237288136
16,111.32075471698113
17,108.00842992623814
18,103.32294911734164
19,105.28942115768463
20,100.0
21,93.89243391066545
22,115.64960629921262
23,87.53709198813057
24,104.15271265907569
25,102.78372591006423
26,111.70568561872909
27,112.68939393939394
28,107.53768844221105
29,104.54115421002838
30,110.11080332409972
31,98.4536082474227
32,118.3574879227053
33,104.41485634197618
34,112.89346246973366
35,100.47846889952154
36,100.72655217965654
37,99.94913530010173
38,102.06896551724138
39,103.69246332827518
40,107.83316378433368
41,103.96673064619321
42,108.44925296239052
43,97.07132735002362
44,100.61391541609824
45,104.31472081218274
46,109.86203372508942
47,111.62179908076165
48,106.69031931069438
49,114.80945489628557
50,112.1332670313277
51,111.11111111111111
52,101.40915953699043
53,102.0996294771511
54,106.99919549477073
55,118.48341232227489
56,97.81152300133988
57,104.9901185770751
58,103.151157065485
59,97.28682170542635
60,97.131931166348
61,97.68637532133675
62,105.15291160452452
63,104.98147385755455
64,112.37322515212982
65,101.440329218107
66,99.12780945991277
67,100.28305701577031
68,117.76251226692838
69,96.64478482859226
70,108.09443507588531
71,99.53703703703704
72,114.29678419217358
73,93.15352697095436
74,102.59052104798351
75,108.63338788870705
76,106.1031217116801
77,102.34499205087442
78,108.51693521867807
79,111.8553248492967
80,98.60627177700349
81,100.05742176284811
82,107.61190029482712
83,102.08816705336427
84,105.49798503166379
85,116.7749223383225
86,109.02255639097744
87,99.24190213645761
88,107.82517665532583
89,105.14541387024607
90,105.42168674698796
91,107.66331658291458
92,110.67595010153757
93,104.44849115504684
94,102.82992434855703
95,105.43799212598427
96,102.0583190394511
97,103.01263362487852
98,100.59171597633136
99,109.56230833565654
100,107.61883607285651
101,100.0770811921891
102,100.04397537379069
103,99.83666802776642
